Code,Location
ABE  ,"Aberdeen, WA"
ABG ,"Alburg, VT"
ABQ ,"Albuquerque, NM"
ABS  ,"Alburg Springs, VT"
ADT  ,"Amistad Dam, TX"
AGA ,"Agana, Guam"
AGN ,"Algonac, MI"
AGU ,"Mayaguez, PR"
AKR  ,"Akron, OH"
ALB  ,"Albany, NY"
ALC  ,"Alcan, AK"
ALP  ,"Alpena, MI"
AMB ,"Ambrose, ND"
ANA ,"Anacortes, WA"
ANC ,"Anchorage, AK"
AND ,"Andrade, CA"
ANP  ,"Antelope Wells, NM"
ANT  ,"Antler, ND"
ANZ ,"Anzaldaus, TX"
ARU ,Aruba
AST  ,"Astoria, OR"
ATB  ,"Ashtabula, OH"
ATL  ,"Atlanta, GA"
ATW ,"Appleton, WI"
AUS ,"Austin, TX"
AXB  ,"Alexandria Bay, NY"
BAL  ,"Baltimore, MD"
BAU ,"Baudette, MN"
BAY  ,"Bayfield, WI"
BBM ,"Brownsville, B&M Bridge"
BCK  ,"Bucksport, ME"
BCM ,"Battle Creek and Kalamazoo County Airport, MI"
BCY  ,"Bay City, MI"
BEA  ,"Beaumont, TX"
BEB  ,"Beebe Plain, VT"
BEE  ,"Beecher Falls, VT"
BEL  ,"Bellingham, WA"
BGC ,"Bridgeport, CT"
BGM ,"Bangor, ME"
BHM ,"Bar Harbor, ME    Ferry Terminal"
BIL   ,"Billings, MT"
BLA  ,"Blaine, WA"
BOA ,"El Paso, TX Bridge of Americas"
BOC ,"Boca Grande, FL"
BOO ,"Boothbay Harbor, ME"
BOS ,"Boston, MA"
BRG ,"Burlington, VT"
BRO ,"Brownsville, TX"
BRU ,"Brunswick, GA"
BTM ,"Butte, MT"
BTN  ,"Baton Rouge, LA"
BUF  ,"Buffalo, NY"
BWA ,"Boundary, WA"
BWM,"Bridgewater, ME"
CAL  ,"Calexico, CA"
CAN ,"Cape Canaveral, FL"
CAP  ,"Cape Vincent, NY"
CBH ,"Churubusco, IN"
CHA ,"Charlotte Amalie, St. Thomas, VI"
CHF  ,"Chief Mountain, MT"
CHI  ,"Chicago, IL"
CHL  ,"Charleston, SC"
CHM ,"Champlain, NY"
CHR ,"Christiansted, St. Croix, VI"
CHT  ,"Chateaugay, NY"
CIN  ,"Cincinnati, OH"
CLA  ,"Clayton, NY"
CLE  ,"Cleveland, OH"
CLG  ,"Calgary, Alberta Canada"
